DEP	AR	CT	COM	LEG	JO	EFF	DTR	MOD	C-LOFF	C-LANC	NBCOM	RANGCOM	COMECH	POPECH	SUECH	DEPANC	ARRANC	CTANC	TNCCOFF	NCCOFF	TNCCANC	NCCANC
49	2	11	092	A12-09-2012	15-12-2012	01-01-2013	01-01-2013	11											0	Chemillé-Melay	0	Chemillé
49	2	11	092	A12-09-2012	15-12-2012	01-01-2013	01-01-2013	34			1	1	49199						0	Chemillé-Melay		
49	3	15	094	A25-06-1973	20-07-1973	01-01-1974	01-01-1974	11											0	Chênehutte-Trèves-Cunault	0	Chênehutte-les-Tuffeaux
49	3	15	094	A25-06-1973	20-07-1973	01-01-1974	01-01-1974	34			1	1	49357						0	Chênehutte-Trèves-Cunault		
49	2	97	099	D26-07-1973D18-08-1973	02-08-197328-08-1973	03-08-1973	03-08-1973	34			1	1	79224						0	Cholet		
49	3	04	101	A19-11-2012	15-12-2012	01-01-2013	01-01-2013	11											0	Clefs-Val d'Anjou	0	Clefs
49	3	04	101	A19-11-2012	15-12-2012	01-01-2013	01-01-2013	34			1	1	49380						0	Clefs-Val d'Anjou		
49	3	04	116	D04-04-2013	06-04-2013	07-04-2013	07-04-2013	61					49171	0	9				0	Cuon		
49			118	A30-01-1973	15-03-1973	01-02-1973	01-02-1973	33					49328						0	Dampierre-sur-Loire		
49	3	29	123	A17-02-2003		01-03-2003	01-03-2003	61					49328	0	3				0	Distré		
49	3	29	123	A17-02-2003		01-03-2003	01-03-2003	63					49328	0	3				0	Distré		
49			124	A31-07-1964	28-10-1964	01-10-1964	01-10-1964	31					49125						0	Douces		
49	3	13	125	A31-07-1964	28-10-1964	01-10-1964	01-10-1964	32			2	1	49124						0	Doué-la-Fontaine		
49	3	13	125	A31-07-1964	28-10-1964	01-10-1964	01-10-1964	32			2	2	49340						0	Doué-la-Fontaine		
49	3	29	140					10											0	Fontevraud-l'Abbaye	0	Fontevrault-l'Abbaye
49			146	A28-12-1972	01-02-1973	01-01-1973	01-01-1973	33					49281						4	Gardes		
49			152	A09-11-1982		01-12-1982	01-12-1982	35					49029						0	Gohier		
49			152	A28-02-1974	12-04-1974	01-03-1974	01-03-1974	33					49029						0	Gohier		
49	1	32	153	A22-10-1973	15-11-1973	01-01-1974	01-01-1974	11											0	Valanjou	0	Gonnord
49	1	32	153	A22-10-1973	15-11-1973	01-01-1974	01-01-1974	32			1	1	49164						0	Valanjou		
49	3	04	157	D08-07-2010	10-07-2010	11-07-2010	11-07-2010	10											2	Guédeniau	2	Guédéniau
49			164	A22-10-1973	15-11-1973	01-01-1974	01-01-1974	31					49153						0	Joué-Étiau		
49			166	A20-06-1977		01-07-1977	01-07-1977	35					49214						0	Juigné-Béné		
49			166	A24-01-1973	20-02-1973	01-02-1973	01-02-1973	33					49214						0	Juigné-Béné		
49			168	A28-12-1972	18-02-1973	01-01-1973	01-01-1973	33					49180						0	Jumelles		
49	3	17	171	D04-04-2013	06-04-2013	07-04-2013	07-04-2013	63					49116	0	9				3	Lande-Chasles		
49	3	17	180	A28-12-1972	18-02-1973	01-01-1973	01-01-1973	11											0	Longué-Jumelles	0	Longué
49	3	17	180	A28-12-1972	18-02-1973	01-01-1973	01-01-1973	34			1	1	49168						0	Longué-Jumelles		
49			199	A12-09-2012	15-12-2012	01-01-2013	01-01-2013	33					49092						0	Melay		
49			203	A09-11-1967	05-01-1968	01-01-1968	01-01-1968	31					49215						0	Méron		
49	2	19	206	A28-02-2000	05-04-2000	29-02-2000	29-02-2000	11											0	Montfaucon-Montigné	0	Montfaucon
49	2	19	206	A28-02-2000	05-04-2000	29-02-2000	29-02-2000	32			1	1	49210						0	Montfaucon-Montigné		
49	1	14	209	D29-08-1955	02-09-1955	03-09-1955	03-09-1955	10											0	Montigné-lès-Rairies	0	Montigné
49			210	A28-02-2000	05-04-2000	29-02-2000	29-02-2000	31					49206						0	Montigné-sur-Moine		
49	2	25	212	D23-08-1956	28-08-1956	29-08-1956	29-08-1956	10											0	Montjean-sur-Loire	0	Montjean
